Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
"10000.00","2017-01-01","credit_card","","23.64%","535xx","WI","5 years","0"
"6000.00","2017-01-01","debt_consolidation","","49.02%","778xx","TX","5 years","0"
"2500.00","2017-01-01","other","","7.12%","841xx","UT","< 1 year","0"
"1000.00","2017-01-01","other","","4.16%","410xx","KY","n/a","0"
"15000.00","2017-01-01","credit_card","","35.81%","760xx","TX","5 years","0"
"1000.00","2017-01-01","debt_consolidation","","40.5%","782xx","TX","n/a","0"
"3500.00","2017-01-01","credit_card","","4.29%","112xx","NY","5 years","0"
"30000.00","2017-01-01","debt_consolidation","","41.8%","060xx","CT","5 years","0"
"2000.00","2017-01-01","Major purchase","533","8.09%","350xx","AL","< 1 year","0"
"1000.00","2017-01-01","other","","0.78%","927xx","CA","< 1 year","0"
"1000.00","2017-01-01","home_improvement","","-1%","114xx","NY","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","35.16%","339xx","FL","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","24.45%","633xx","MO","5 years","0"
"3000.00","2017-01-01","debt_consolidation","","20.94%","272xx","NC","< 1 year","0"
"17000.00","2017-01-01","debt_consolidation","","-1%","431xx","OH","5 years","0"
"30000.00","2017-01-01","Home improvement","736","33.77%","112xx","NY","< 1 year","0"
"4000.00","2017-01-01","car","","15.33%","338xx","FL","5 years","0"
"18000.00","2017-01-01","debt_consolidation","","47.04%","618xx","IL","< 1 year","0"
"25000.00","2017-01-01","other","","1.16%","068xx","CT","< 1 year","0"
"2000.00","2017-01-01","other","","17.67%","801xx","CO","5 years","0"
"3200.00","2017-01-01","car","","0%","136xx","NY","5 years","0"
"15000.00","2017-01-01","car","","1%","346xx","FL","< 1 year","0"
"5000.00","2017-01-01","credit_card","","5.12%","238xx","VA","5 years","0"
"20000.00","2017-01-01","debt_consolidation","","7.35%","906xx","CA","5 years","0"
"15000.00","2017-01-01","debt_consolidation","","42.01%","773xx","TX","< 1 year","0"
"13000.00","2017-01-01","debt_consolidation","","232.35%","212xx","MD","n/a","0"
"7000.00","2017-01-01","Car financing","652","60.98%","392xx","MS","< 1 year","0"
"12000.00","2017-01-01","medical","","0%","305xx","GA","< 1 year","0"
"8000.00","2017-01-01","Debt consolidation","593","13.72%","786xx","TX","< 1 year","0"
"26000.00","2017-01-01","credit_card","","9.55%","114xx","NY","5 years","0"
"10000.00","2017-01-01","Debt consolidation","562","68.75%","370xx","TN","< 1 year","0"
"18000.00","2017-01-01","moving","","12.36%","900xx","CA","5 years","0"
"1000.00","2017-01-01","other","","2670.73%","378xx","TN","< 1 year","0"
"4000.00","2017-01-01","home_improvement","","-1%","850xx","AZ","< 1 year","0"
"7000.00","2017-01-01","other","","1.57%","104xx","NY","< 1 year","0"
"10000.00","2017-01-01","Other","665","1.93%","390xx","MS","< 1 year","0"
"6500.00","2017-01-01","debt_consolidation","","38.5%","729xx","AR","5 years","0"
"1000.00","2017-01-01","other","540","3.36%","720xx","AR","< 1 year","0"
"5500.00","2017-01-01","Debt consolidation","621","16.51%","173xx","PA","< 1 year","0"
"1000.00","2017-01-01","Car financing","524","0%","287xx","NC","< 1 year","0"
"17000.00","2017-01-01","debt_consolidation","","25.93%","688xx","NE","< 1 year","0"
"2000.00","2017-01-01","debt_consolidation","","9.92%","432xx","OH","< 1 year","0"
"1200.00","2017-01-01","Home buying","633","2.56%","809xx","CO","< 1 year","0"
"1000.00","2017-01-01","other","","-1%","452xx","OH","< 1 year","0"
"5000.00","2017-01-01","credit_card","","11.74%","800xx","CO","< 1 year","0"
"40000.00","2017-01-01","Home buying","552","0%","112xx","NY","< 1 year","0"
"1500.00","2017-01-01","credit_card","","19.76%","945xx","CA","< 1 year","0"
"35000.00","2017-01-01","other","","37.86%","775xx","TX","< 1 year","0"
"20000.00","2017-01-01","home_improvement","","21.18%","114xx","NY","< 1 year","0"
"25000.00","2017-01-01","Debt consolidation","556","0%","935xx","CA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","19.82%","321xx","FL","< 1 year","0"
"5000.00","2017-01-01","credit_card","","4%","333xx","FL","5 years","0"
"7200.00","2017-01-01","debt_consolidation","","-1%","329xx","FL","< 1 year","0"
"3000.00","2017-01-01","Debt consolidation","567","16.4%","271xx","NC","< 1 year","0"
"1500.00","2017-01-01","other","","51.03%","751xx","TX","< 1 year","0"
"3000.00","2017-01-01","Car financing","618","31.12%","496xx","MI","< 1 year","0"
"7500.00","2017-01-01","other","","-1%","242xx","VA","n/a","0"
"10000.00","2017-01-01","home_improvement","","42.46%","365xx","AL","< 1 year","0"
"1000.00","2017-01-01","Debt consolidation","593","2.18%","764xx","TX","< 1 year","0"
"60000.00","2017-01-01","Business Loan","","-1%","606xx","IL","< 1 year","0"
"1000.00","2017-01-01","Other","","0.86%","447xx","OH","n/a","0"
"3000.00","2017-01-01","debt_consolidation","","42.51%","212xx","MD","< 1 year","0"
"1000.00","2017-01-01","debt_consolidation","","48.56%","357xx","AL","n/a","0"
"15000.00","2017-01-01","debt_consolidation","","-1%","321xx","FL","< 1 year","0"
"1000.00","2017-01-01","medical","","19.16%","600xx","IL","5 years","0"
"5000.00","2017-01-01","Other","599","49.75%","972xx","OR","< 1 year","0"
"35000.00","2017-01-01","debt_consolidation","","-1%","777xx","TX","< 1 year","0"
"7000.00","2017-01-01","credit_card","","-1%","453xx","OH","n/a","0"
"4000.00","2017-01-01","Debt consolidation","590","28.74%","352xx","AL","< 1 year","0"
"3000.00","2017-01-01","major_purchase","","11.65%","496xx","MI","5 years","0"
"5000.00","2017-01-01","debt_consolidation","","-1%","477xx","IN","5 years","0"
"35000.00","2017-01-01","debt_consolidation","","22.16%","346xx","FL","< 1 year","0"
"4000.00","2017-01-01","debt_consolidation","","24.83%","486xx","MI","< 1 year","0"
"6000.00","2017-01-01","major_purchase","","-1%","443xx","OH","< 1 year","0"
"12000.00","2017-01-01","debt_consolidation","","39.95%","431xx","OH","< 1 year","0"
"4750.00","2017-01-01","credit_card","","-1%","325xx","FL","5 years","0"
"25000.00","2017-01-01","debt_consolidation","","26.85%","350xx","AL","< 1 year","0"
"12000.00","2017-01-01","debt_consolidation","","29.02%","245xx","VA","< 1 year","0"
"3000.00","2017-01-01","Credit card refinancing","600","27.84%","850xx","AZ","< 1 year","0"
"50000.00","2017-01-01","Business Loan","","-1%","431xx","OH","< 1 year","0"
"20000.00","2017-01-01","credit_card","","36.31%","329xx","FL","< 1 year","0"
"25000.00","2017-01-01","Debt consolidation","634","40.39%","338xx","FL","< 1 year","0"
"4000.00","2017-01-01","home_improvement","","28.26%","280xx","NC","< 1 year","0"
"8000.00","2017-01-01","debt_consolidation","","18.27%","752xx","TX","5 years","0"
"5000.00","2017-01-01","other","","57.37%","381xx","TN","5 years","0"
"30000.00","2017-01-01","debt_consolidation","","-1%","212xx","MD","5 years","0"
"8000.00","2017-01-01","debt_consolidation","","25.49%","434xx","OH","5 years","0"
"30000.00","2017-01-01","debt_consolidation","","7.43%","604xx","IL","< 1 year","0"
"5000.00","2017-01-01","other","","74.33%","773xx","TX","< 1 year","0"
"1000.00","2017-01-01","debt_consolidation","","0.83%","221xx","VA","5 years","0"
"29000.00","2017-01-01","debt_consolidation","","30.62%","604xx","IL","5 years","0"
"10500.00","2017-01-01","Credit card refinancing","668","47.82%","554xx","MN","< 1 year","0"
"1000.00","2017-01-01","Debt consolidation","583","3.05%","907xx","CA","< 1 year","0"
"10000.00","2017-01-01","home_improvement","","0%","488xx","MI","< 1 year","0"
"20000.00","2017-01-01","Credit card refinancing","639","17.27%","103xx","NY","< 1 year","0"
"40000.00","2017-01-01","Home buying","685","5.57%","330xx","FL","< 1 year","0"
"5000.00","2017-01-01","Debt consolidation","658","24.58%","844xx","UT","< 1 year","0"
"20000.00","2017-01-01","home_improvement","","10.77%","347xx","FL","< 1 year","0"
"15000.00","2017-01-01","Credit card refinancing","608","29.2%","330xx","FL","< 1 year","0"
"6000.00","2017-01-01","car","","4.89%","288xx","NC","5 years","0"
"10000.00","2017-01-01","credit_card","","37.82%","601xx","IL","5 years","0"
"15900.00","2017-01-01","Car financing","592","100%","371xx","TN","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","-1%","331xx","FL","5 years","0"
"24425.00","2017-01-01","other","","-1%","148xx","NY","5 years","0"
"6000.00","2017-01-01","debt_consolidation","","5.75%","619xx","IL","5 years","0"
"1000.00","2017-01-01","Debt consolidation","613","10.09%","661xx","KS","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","8.27%","465xx","IN","n/a","0"
"2000.00","2017-01-01","vacation","","40.23%","338xx","FL","5 years","0"
"1000.00","2017-01-01","medical","","8.52%","451xx","OH","5 years","0"
"10000.00","2017-01-01","Moving and relocation","628","36.21%","891xx","NV","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","53.16%","553xx","MN","< 1 year","0"
"4000.00","2017-01-01","debt_consolidation","","2.31%","448xx","OH","n/a","0"
"15000.00","2017-01-01","small_business","","-1%","640xx","MO","5 years","0"
"25000.00","2017-01-01","credit_card","","33.88%","328xx","FL","< 1 year","0"
"2000.00","2017-01-01","Car financing","525","1.67%","381xx","TN","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","683","5.52%","672xx","KS","< 1 year","0"
"2500.00","2017-01-01","Other","616","17.97%","235xx","VA","< 1 year","0"
"20000.00","2017-01-01","Home improvement","668","321.14%","207xx","MD","< 1 year","0"
"6000.00","2017-01-01","debt_consolidation","","16.59%","495xx","MI","< 1 year","0"
"5900.00","2017-01-01","credit_card","","59.28%","711xx","LA","5 years","0"
"12000.00","2017-01-01","credit_card","","28.02%","480xx","MI","< 1 year","0"
"3000.00","2017-01-01","debt_consolidation","","16.77%","333xx","FL","5 years","0"
"1700.00","2017-01-01","Other","543","6.94%","719xx","AR","< 1 year","0"
"25000.00","2017-01-01","house","","0.38%","285xx","NC","< 1 year","0"
"14000.00","2017-01-01","debt_consolidation","","-1%","338xx","FL","5 years","0"
"9000.00","2017-01-01","debt_consolidation","","25.75%","344xx","FL","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","99.97%","294xx","SC","< 1 year","0"
"1000.00","2017-01-01","Debt consolidation","530","18.56%","440xx","OH","< 1 year","0"
"5000.00","2017-01-01","moving","","0.86%","532xx","WI","5 years","0"
"2000.00","2017-01-01","moving","","21.22%","179xx","PA","5 years","0"
"28975.00","2017-01-01","credit_card","","31.31%","282xx","NC","5 years","0"
"4000.00","2017-01-01","car","","7.2%","064xx","CT","5 years","0"
"1500.00","2017-01-01","credit_card","","2.01%","611xx","IL","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","54.75%","590xx","MT","< 1 year","0"
"4000.00","2017-01-01","debt_consolidation","","19.67%","656xx","MO","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","11.27%","088xx","NJ","5 years","0"
"2000.00","2017-01-01","debt_consolidation","","30.08%","714xx","LA","5 years","0"
"3500.00","2017-01-01","Debt consolidation","603","26.8%","829xx","WY","< 1 year","0"
"10000.00","2017-01-01","other","","0.8%","031xx","NH","< 1 year","0"
"1000.00","2017-01-01","other","","-1%","920xx","CA","5 years","0"
"11000.00","2017-01-01","debt_consolidation","","25.75%","012xx","MA","5 years","0"
"25000.00","2017-01-01","Credit card refinancing","689","36.38%","017xx","MA","< 1 year","0"
"12600.00","2017-01-01","Debt consolidation","674","36.84%","554xx","MN","< 1 year","0"
"6000.00","2017-01-01","debt_consolidation","","26.16%","610xx","IL","< 1 year","0"
"20000.00","2017-01-01","small_business","","20.3%","708xx","LA","5 years","0"
"10000.00","2017-01-01","Credit card refinancing","624","74.9%","144xx","NY","< 1 year","0"
"20000.00","2017-01-01","credit_card","","-1%","400xx","KY","5 years","0"
"10000.00","2017-01-01","vacation","","29.07%","553xx","MN","< 1 year","0"
"5000.00","2017-01-01","medical","","19.52%","285xx","NC","n/a","0"
"25000.00","2017-01-01","other","","9.49%","917xx","CA","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","35.04%","305xx","GA","< 1 year","0"
"10000.00","2017-01-01","other","","36.47%","123xx","NY","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","28%","280xx","NC","< 1 year","0"
"1500.00","2017-01-01","vacation","","0%","104xx","NY","< 1 year","0"
"7000.00","2017-01-01","debt_consolidation","","0%","275xx","NC","5 years","0"
"18000.00","2017-01-01","Credit card refinancing","652","15.3%","231xx","VA","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","1.57%","227xx","VA","< 1 year","0"
"15000.00","2017-01-01","Business Loan","","-1%","117xx","NY","< 1 year","0"
"10000.00","2017-01-01","car","","5.28%","925xx","CA","5 years","0"
"1500.00","2017-01-01","medical","","0%","395xx","MS","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","33.14%","443xx","OH","5 years","0"
"1000.00","2017-01-01","credit_card","","16.36%","132xx","NY","5 years","0"
"25000.00","2017-01-01","Debt consolidation","790","1.64%","917xx","CA","< 1 year","0"
"30000.00","2017-01-01","house","","-1%","352xx","AL","5 years","0"
"2000.00","2017-01-01","other","","15.7%","234xx","VA","< 1 year","0"
"12000.00","2017-01-01","Credit card refinancing","654","72.64%","146xx","NY","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","6.45%","334xx","FL","< 1 year","0"
"4000.00","2017-01-01","debt_consolidation","","4.54%","704xx","LA","5 years","0"
"12000.00","2017-01-01","credit_card","","40.52%","538xx","WI","5 years","0"
"16000.00","2017-01-01","debt_consolidation","","17.51%","336xx","FL","< 1 year","0"
"10000.00","2017-01-01","Vacation","630","1.51%","111xx","NY","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","10.72%","286xx","NC","< 1 year","0"
"24500.00","2017-01-01","credit_card","","-1%","563xx","MN","5 years","0"
"40000.00","2017-01-01","Debt consolidation","533","26.26%","762xx","TX","< 1 year","0"
"40000.00","2017-01-01","Debt consolidation","624","12.43%","402xx","KY","< 1 year","0"
"5500.00","2017-01-01","debt_consolidation","","15.87%","297xx","SC","< 1 year","0"
"20000.00","2017-01-01","major_purchase","","11.15%","458xx","OH","< 1 year","0"
"8000.00","2017-01-01","debt_consolidation","","12.43%","178xx","PA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","35.25%","482xx","MI","n/a","0"
"5000.00","2017-01-01","Credit card refinancing","586","4.34%","356xx","AL","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","14.14%","015xx","MA","< 1 year","0"
"2000.00","2017-01-01","home_improvement","","1.13%","280xx","NC","< 1 year","0"
"5000.00","2017-01-01","Debt consolidation","501","9.59%","305xx","GA","< 1 year","0"
"5000.00","2017-01-01","moving","544","1.68%","300xx","GA","< 1 year","0"
"10000.00","2017-01-01","home_improvement","","27.88%","441xx","OH","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","4.7%","114xx","NY","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","36.44%","452xx","OH","5 years","0"
"20000.00","2017-01-01","debt_consolidation","","-1%","407xx","KY","n/a","0"
"22000.00","2017-01-01","Other","","100%","207xx","MD","< 1 year","0"
"3000.00","2017-01-01","debt_consolidation","","24.23%","027xx","MA","5 years","0"
"35000.00","2017-01-01","Debt consolidation","663","35.22%","756xx","TX","< 1 year","0"
"2500.00","2017-01-01","major_purchase","","0.73%","083xx","NJ","< 1 year","0"
"8000.00","2017-01-01","credit_card","","12.38%","159xx","PA","n/a","0"
"30000.00","2017-01-01","Debt consolidation","","32.37%","444xx","OH","3 years","0"
"10000.00","2017-01-01","home_improvement","","12.54%","447xx","OH","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","-1%","207xx","MD","< 1 year","0"
"3000.00","2017-01-01","other","","8.17%","105xx","NY","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","46.3%","844xx","UT","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","34.65%","217xx","MD","< 1 year","0"
"4000.00","2017-01-01","other","","18.65%","245xx","VA","< 1 year","0"
"16000.00","2017-01-01","credit_card","","-1%","100xx","NY","5 years","0"
"3925.00","2017-01-01","credit_card","","13.24%","323xx","FL","5 years","0"
"1500.00","2017-01-01","other","","30.8%","357xx","AL","< 1 year","0"
"18000.00","2017-01-01","Other","629","11.63%","548xx","WI","< 1 year","0"
"35000.00","2017-01-01","Debt consolidation","669","28.93%","774xx","TX","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","9999%","070xx","NJ","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","-1%","705xx","LA","< 1 year","0"
"14000.00","2017-01-01","Business Loan","","-1%","310xx","GA","< 1 year","0"
"5000.00","2017-01-01","other","","20.33%","480xx","MI","< 1 year","0"
"15000.00","2017-01-01","Debt consolidation","599","20.13%","017xx","MA","< 1 year","0"
"30000.00","2017-01-01","Credit card refinancing","632","25.05%","041xx","ME","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","-1%","018xx","MA","< 1 year","0"
"5000.00","2017-01-01","Credit card refinancing","636","21.2%","207xx","MD","< 1 year","0"
"20000.00","2017-01-01","Credit card refinancing","655","9.1%","085xx","NJ","n/a","0"
"25000.00","2017-01-01","credit_card","","29.49%","210xx","MD","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","25.42%","952xx","CA","5 years","0"
"2000.00","2017-01-01","Other","501","22.61%","766xx","TX","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","44.14%","229xx","VA","< 1 year","0"
"2300.00","2017-01-01","credit_card","","4.33%","112xx","NY","< 1 year","0"
"20000.00","2017-01-01","Other","657","1.33%","337xx","FL","< 1 year","0"
"2000.00","2017-01-01","other","","-1%","581xx","ND","5 years","0"
"8000.00","2017-01-01","Vacation","563","0.86%","141xx","NY","< 1 year","0"
"2500.00","2017-01-01","other","","9.71%","329xx","FL","< 1 year","0"
"12000.00","2017-01-01","Credit card refinancing","623","8.75%","462xx","IN","< 1 year","0"
"8000.00","2017-01-01","home_improvement","","9999%","023xx","MA","< 1 year","0"
"40000.00","2017-01-01","home_improvement","","12.83%","333xx","FL","< 1 year","0"
"2000.00","2017-01-01","Debt consolidation","608","11.94%","462xx","IN","< 1 year","0"
"5000.00","2017-01-01","Vacation","655","45.06%","712xx","LA","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","25.23%","752xx","TX","< 1 year","0"
"15000.00","2017-01-01","Debt consolidation","643","18.73%","301xx","GA","< 1 year","0"
"2500.00","2017-01-01","Major purchase","","8.27%","703xx","LA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","19.44%","490xx","MI","< 1 year","0"
"15000.00","2017-01-01","Credit card refinancing","669","42.88%","174xx","PA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","13.36%","070xx","NJ","5 years","0"
"10000.00","2017-01-01","Debt consolidation","680","1.88%","303xx","GA","< 1 year","0"
"3500.00","2017-01-01","other","","5.99%","841xx","UT","< 1 year","0"
"10000.00","2017-01-01","Car financing","601","0%","240xx","VA","< 1 year","0"
"1000.00","2017-01-01","credit_card","","-1%","230xx","VA","5 years","0"
"5000.00","2017-01-01","Debt consolidation","560","11.62%","379xx","TN","< 1 year","0"
"40000.00","2017-01-01","Debt consolidation","735","13.86%","119xx","NY","n/a","0"
"6000.00","2017-01-01","debt_consolidation","","68.8%","967xx","HI","< 1 year","0"
"2500.00","2017-01-01","other","","49.33%","163xx","PA","< 1 year","0"
"1000.00","2017-01-01","other","","8.38%","233xx","VA","< 1 year","0"
"15000.00","2017-01-01","credit_card","","29.84%","441xx","OH","5 years","0"
"20000.00","2017-01-01","debt_consolidation","","48.12%","080xx","NJ","< 1 year","0"
"15000.00","2017-01-01","Other","728","8.37%","601xx","IL","< 1 year","0"
"25000.00","2017-01-01","credit_card","","37.99%","280xx","NC","< 1 year","0"
"30000.00","2017-01-01","debt_consolidation","","66.36%","281xx","NC","5 years","0"
"5000.00","2017-01-01","home_improvement","","22.08%","764xx","TX","5 years","0"
"15000.00","2017-01-01","Credit card refinancing","683","49.94%","170xx","PA","< 1 year","0"
"3000.00","2017-01-01","Other","611","52%","152xx","PA","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","752","63.76%","967xx","HI","< 1 year","0"
"2000.00","2017-01-01","medical","","15.4%","354xx","AL","5 years","0"
"35000.00","2017-01-01","debt_consolidation","","14.86%","951xx","CA","5 years","0"
"10000.00","2017-01-01","Credit card refinancing","676","21.76%","112xx","NY","< 1 year","0"
"10000.00","2017-01-01","Credit card refinancing","663","27.3%","713xx","LA","< 1 year","0"
"8000.00","2017-01-01","credit_card","","11.63%","604xx","IL","< 1 year","0"
"1200.00","2017-01-01","other","","15.63%","765xx","TX","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","14.82%","467xx","IN","< 1 year","0"
"6000.00","2017-01-01","other","","2.25%","117xx","NY","5 years","0"
"5000.00","2017-01-01","debt_consolidation","","82.8%","809xx","CO","< 1 year","0"
"12500.00","2017-01-01","Debt consolidation","668","35.49%","054xx","VT","< 1 year","0"
"34500.00","2017-01-01","debt_consolidation","","-1%","804xx","CO","5 years","0"
"7000.00","2017-01-01","Debt consolidation","689","306.01%","787xx","TX","< 1 year","0"
"7500.00","2017-01-01","debt_consolidation","","39.55%","495xx","MI","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","37.95%","365xx","AL","< 1 year","0"
"7100.00","2017-01-01","debt_consolidation","","24.39%","014xx","MA","5 years","0"
"28000.00","2017-01-01","Debt consolidation","743","56.99%","155xx","PA","< 1 year","0"
"50000.00","2017-01-01","Business Loan","","-1%","281xx","NC","< 1 year","0"
"5000.00","2017-01-01","moving","","0.51%","325xx","FL","n/a","0"
"10000.00","2017-01-01","medical","","9.07%","286xx","NC","5 years","0"
"20000.00","2017-01-01","debt_consolidation","","-1%","301xx","GA","< 1 year","0"
"5000.00","2017-01-01","Major purchase","665","8.33%","853xx","AZ","< 1 year","0"
"7000.00","2017-01-01","credit_card","","4.52%","115xx","NY","5 years","0"
"10000.00","2017-01-01","home_improvement","","30.5%","700xx","LA","< 1 year","0"
"2000.00","2017-01-01","home_improvement","","4.51%","678xx","KS","5 years","0"
"5000.00","2017-01-01","credit_card","","13.19%","200xx","DC","5 years","0"
"1000.00","2017-01-01","Debt consolidation","629","37.16%","394xx","MS","< 1 year","0"
"1000.00","2017-01-01","Medical expenses","512","75.59%","748xx","OK","< 1 year","0"
"2000.00","2017-01-01","other","","19.75%","710xx","LA","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","2.87%","355xx","AL","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","-1%","604xx","IL","< 1 year","0"
"20000.00","2017-01-01","home_improvement","","25.39%","207xx","MD","< 1 year","0"
"11050.00","2017-01-01","credit_card","","40.29%","033xx","NH","5 years","0"
"40000.00","2017-01-01","debt_consolidation","","-1%","060xx","CT","< 1 year","0"
"17000.00","2017-01-01","Debt consolidation","595","15.32%","923xx","CA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","21.73%","328xx","FL","< 1 year","0"
"3000.00","2017-01-01","moving","501","12.65%","752xx","TX","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","8.35%","232xx","VA","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","25.22%","450xx","OH","5 years","0"
"25000.00","2017-01-01","debt_consolidation","","62.01%","300xx","GA","5 years","0"
"10000.00","2017-01-01","credit_card","","24.94%","700xx","LA","< 1 year","0"
"4000.00","2017-01-01","debt_consolidation","","-1%","388xx","MS","< 1 year","0"
"5000.00","2017-01-01","home_improvement","","11.66%","330xx","FL","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","-1%","114xx","NY","< 1 year","0"
"1200.00","2017-01-01","other","","-1%","221xx","VA","< 1 year","0"
"7500.00","2017-01-01","Debt consolidation","723","6.04%","725xx","AR","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","36.35%","034xx","NH","5 years","0"
"5000.00","2017-01-01","debt_consolidation","","20.73%","322xx","FL","< 1 year","0"
"18000.00","2017-01-01","credit_card","","41.66%","211xx","MD","5 years","0"
"14000.00","2017-01-01","car","","5.88%","483xx","MI","5 years","0"
"2000.00","2017-01-01","credit_card","","17.56%","467xx","IN","5 years","0"
"5500.00","2017-01-01","credit_card","","28.59%","629xx","IL","5 years","0"
"5000.00","2017-01-01","debt_consolidation","","32.58%","275xx","NC","< 1 year","0"
"10000.00","2017-01-01","Vacation","691","12.73%","064xx","CT","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","194.6%","023xx","MA","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","618","45.1%","115xx","NY","< 1 year","0"
"15000.00","2017-01-01","Debt consolidation","665","4.14%","752xx","TX","< 1 year","0"
"7500.00","2017-01-01","debt_consolidation","","14.66%","907xx","CA","< 1 year","0"
"10000.00","2017-01-01","major_purchase","","1.84%","068xx","CT","< 1 year","0"
"1000.00","2017-01-01","other","","15.88%","216xx","MD","5 years","0"
"10000.00","2017-01-01","credit_card","","30.64%","342xx","FL","5 years","0"
"30000.00","2017-01-01","Business Loan","","-1%","070xx","NJ","< 1 year","0"
"2000.00","2017-01-01","small_business","","4.95%","148xx","NY","5 years","0"
"12000.00","2017-01-01","debt_consolidation","","-1%","902xx","CA","< 1 year","0"
"10000.00","2017-01-01","house","","8.32%","775xx","TX","5 years","0"
"15000.00","2017-01-01","debt_consolidation","","7.87%","720xx","AR","< 1 year","0"
"3000.00","2017-01-01","other","","17.77%","381xx","TN","< 1 year","0"
"5000.00","2017-01-01","car","","156.04%","754xx","TX","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","22.45%","350xx","AL","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","1.98%","850xx","AZ","< 1 year","0"
"3000.00","2017-01-01","debt_consolidation","","16.9%","774xx","TX","< 1 year","0"
"38000.00","2017-01-01","debt_consolidation","589","47.29%","337xx","FL","< 1 year","0"
"4000.00","2017-01-01","other","","-1%","479xx","IN","< 1 year","0"
"10000.00","2017-01-01","Debt consolidation","477","0.76%","212xx","MD","< 1 year","0"
"7000.00","2017-01-01","Debt consolidation","620","59.72%","785xx","TX","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","692","23.57%","337xx","FL","2 years","0"
"36000.00","2017-01-01","debt_consolidation","","27.36%","028xx","RI","< 1 year","0"
"8000.00","2017-01-01","debt_consolidation","","56%","313xx","GA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","18.88%","442xx","OH","< 1 year","0"
"12000.00","2017-01-01","other","","2.86%","061xx","CT","< 1 year","0"
"5000.00","2017-01-01","Debt consolidation","702","1.15%","752xx","TX","< 1 year","0"
"1500.00","2017-01-01","debt_consolidation","","11.64%","117xx","NY","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","-1%","071xx","NJ","< 1 year","0"
"20000.00","2017-01-01","home_improvement","","26.06%","907xx","CA","< 1 year","0"
"13000.00","2017-01-01","credit_card","","-1%","461xx","IN","5 years","0"
"15000.00","2017-01-01","debt_consolidation","","3.84%","917xx","CA","< 1 year","0"
"1000.00","2017-01-01","Medical expenses","604","0%","980xx","WA","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","26.45%","300xx","GA","< 1 year","0"
"10000.00","2017-01-01","major_purchase","","2.29%","325xx","FL","5 years","0"
"35000.00","2017-01-01","Debt consolidation","686","46.71%","481xx","MI","< 1 year","0"
"5000.00","2017-01-01","other","","9999%","750xx","TX","< 1 year","0"
"17000.00","2017-01-01","debt_consolidation","","41.66%","211xx","MD","< 1 year","0"
