Series ID	Region Name	Region Code	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
ATNHPIUS37181A	"Vance County, NC"	37181												64.91	66.21	63.55	70.02	71.71	68.54	76.14	75.85	77.32	80.49	84.57	86.40	91.40	94.88	100.00	104.23	107.89	107.69	110.21	115.21	119.89	122.68	125.95	123.02	118.11	114.17	112.47	107.00	106.08	105.46	109.11	106.91	122.67
ATNHPIUS37183A	"Wake County, NC"	37183	27.21	29.33	31.68	35.10	39.15	42.38	46.75	47.94	49.13	55.11	60.52	64.23	65.65	67.14	68.15	69.16	69.93	71.18	72.95	78.03	83.50	86.27	89.69	92.50	95.82	100.00	103.45	105.47	106.45	108.71	114.35	122.01	129.47	132.62	129.46	124.36	120.79	118.85	121.42	128.03	133.48	142.04	153.09	162.05
ATNHPIUS37185A	"Warren County, NC"	37185																		70.25	69.53	69.52	77.78	78.98	77.97	84.56	87.88	100.00	105.07	112.19	113.71	115.09	128.03	141.64	148.93	154.84	145.59	131.71	127.50	123.96	125.96	126.00	129.14	124.46	129.14	141.11
ATNHPIUS37187A	"Washington County, NC"	37187																			80.54	75.60	84.55	87.09	90.16	94.53	95.42	100.00	105.34	102.87	106.39	113.40	127.39	137.79	142.45	143.02	134.67	132.90	124.92	117.71	120.62	96.47	115.09	120.90	114.49	98.25
ATNHPIUS37189A	"Watauga County, NC"	37189																			64.67	67.17	70.43	74.97	79.24	83.79	91.57	100.00	107.04	111.90	113.88	119.60	128.65	141.12	150.97	153.04	149.86	141.22	132.95	129.34	126.42	123.56	127.83	128.84	132.61	137.97
ATNHPIUS37191A	"Wayne County, NC"	37191		38.46	40.53	47.61	51.42	54.94	55.53	51.66	55.58	61.40	60.68	64.35	65.87	69.01	72.70	74.08	75.03	77.57	78.47	81.73	85.91	88.69	91.44	94.10	96.30	100.00	103.31	105.24	107.28	110.29	115.28	121.32	124.06	125.98	126.10	123.90	120.42	119.92	121.75	118.42	119.89	122.27	119.30	123.82
ATNHPIUS37193A	"Wilkes County, NC"	37193												59.29	56.68	59.40	65.77	69.46	70.06	70.36	71.42	78.35	79.06	81.81	88.41	91.96	97.53	100.00	104.19	105.11	107.14	109.49	112.59	116.54	123.20	125.68	123.28	116.57	112.01	107.79	108.29	106.67	112.92	113.18	113.55	117.24
ATNHPIUS37195A	"Wilson County, NC"	37195	27.42	33.82	43.80	48.15	51.03	53.35	58.89	56.46	59.44	64.76	65.79	67.86	69.12	72.62	72.26	73.88	74.76	76.86	77.94	80.76	85.04	87.19	89.35	94.12	96.29	100.00	104.10	105.32	107.72	108.01	111.07	116.14	118.90	120.12	119.92	114.91	112.99	110.80	110.85	110.29	112.48	111.22	111.69	118.40
ATNHPIUS37197A	"Yadkin County, NC"	37197																			73.89	74.72	81.38	84.00	87.80	89.99	94.11	100.00	101.17	103.78	103.74	106.18	109.99	114.00	116.57	116.27	115.18	113.10	111.20	109.12	106.35	106.53	109.38	110.44	112.06	115.26
ATNHPIUS37199A	"Yancey County, NC"	37199																								82.56	86.15	100.00	109.12	111.62	112.40	119.51	125.44	136.38	146.40	153.54	149.64	145.89	141.76	139.66	131.25	134.47	133.94	136.19	149.42	150.88
