Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
J. Lascelles,23,https://cdn.sofifa.org/sm/18/players/203487.png,England,https://cdn.sofifa.org/flags/14.png,78,83,Newcastle United,https://cdn.sofifa.org/xs/18/teams/13.png,12000000.0,54000.0,1612,64,81,72,52,64,70,46,29,48,16,23,10,15,7,10,15,78,75,83,57,27,82,19,21,73,65,40,75,65,69,75,83,40,33
M. Cáceres,30,https://cdn.sofifa.org/sm/18/players/182495.png,Uruguay,https://cdn.sofifa.org/flags/60.png,78,78,Lazio,https://cdn.sofifa.org/xs/18/teams/46.png,7500000.0,45000.0,1928,78,78,79,74,66,76,69,68,60,41,37,2,3,4,2,4,76,80,91,65,59,80,50,50,73,67,70,77,78,72,78,74,58,65
L. Milivojević,26,https://cdn.sofifa.org/sm/18/players/206304.png,Serbia,https://cdn.sofifa.org/flags/51.png,78,81,Crystal Palace,https://cdn.sofifa.org/xs/18/teams/1799.png,11000000.0,53000.0,2028,61,87,60,58,72,73,66,64,63,78,54,13,9,16,6,12,75,77,64,76,72,76,85,66,74,77,75,68,63,89,73,85,72,42
S. Arias,25,https://cdn.sofifa.org/sm/18/players/204259.png,Colombia,https://cdn.sofifa.org/flags/56.png,78,80,PSV,https://cdn.sofifa.org/xs/18/teams/247.png,10500000.0,17000.0,1965,85,78,78,77,75,76,75,31,75,41,51,14,7,14,15,16,62,73,82,73,50,76,56,68,75,73,56,76,85,89,75,69,52,43
A. Selikhov,23,https://cdn.sofifa.org/sm/18/players/213732.png,Russia,https://cdn.sofifa.org/flags/40.png,78,83,Spartak Moscow,https://cdn.sofifa.org/xs/18/teams/100767.png,10000000.0,37000.0,1217,33,21,35,50,25,58,16,14,19,15,14,79,81,78,77,75,17,25,70,35,19,16,19,15,65,33,25,18,48,24,18,65,58,15
André Almeida,26,https://cdn.sofifa.org/sm/18/players/194022.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,79,SL Benfica,https://cdn.sofifa.org/xs/18/teams/234.png,10000000.0,13000.0,1992,65,81,67,67,78,77,80,74,75,42,43,14,6,7,12,8,72,79,77,75,63,78,43,68,77,75,68,77,66,84,79,80,67,45
Luisão,36,https://cdn.sofifa.org/sm/18/players/148711.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,78,SL Benfica,https://cdn.sofifa.org/xs/18/teams/234.png,1400000.0,10000.0,1633,30,75,31,31,58,81,50,36,50,48,45,14,14,7,10,12,82,78,60,58,45,72,66,30,67,65,68,77,33,49,81,92,48,51
Matheus,24,https://cdn.sofifa.org/sm/18/players/208104.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,83,SC Braga,https://cdn.sofifa.org/xs/18/teams/1896.png,10000000.0,9000.0,1196,44,19,45,48,22,46,15,21,12,12,12,80,73,71,77,80,14,26,63,36,15,14,13,12,74,27,21,15,47,32,20,71,52,13
A. Hurtado,30,https://cdn.sofifa.org/sm/18/players/212456.png,Colombia,https://cdn.sofifa.org/flags/56.png,78,78,Monterrey,https://cdn.sofifa.org/xs/18/teams/1032.png,10000000.0,63000.0,2015,91,60,91,79,76,64,65,63,81,61,76,13,9,12,14,7,70,40,76,68,71,34,73,75,77,74,74,48,91,79,51,70,71,75
M. Halstenberg,25,https://cdn.sofifa.org/sm/18/players/210665.png,Germany,https://cdn.sofifa.org/flags/21.png,78,79,RB Leipzig,https://cdn.sofifa.org/xs/18/teams/112172.png,10000000.0,53000.0,2041,68,73,64,59,74,70,79,76,69,73,57,9,15,14,10,16,78,73,83,62,67,72,67,61,77,76,78,74,74,80,82,78,54,49
J. Cork,28,https://cdn.sofifa.org/sm/18/players/169706.png,England,https://cdn.sofifa.org/flags/14.png,78,78,Burnley,https://cdn.sofifa.org/xs/18/teams/1796.png,10500000.0,60000.0,2064,63,80,66,72,78,80,66,73,74,58,60,13,11,16,6,6,75,80,74,79,56,78,58,70,79,80,72,76,60,88,80,80,77,60
J. Tomkins,28,https://cdn.sofifa.org/sm/18/players/173546.png,England,https://cdn.sofifa.org/flags/14.png,78,79,Crystal Palace,https://cdn.sofifa.org/xs/18/teams/1799.png,9500000.0,55000.0,1650,50,80,51,53,58,74,45,33,50,31,29,11,8,6,9,14,78,78,74,60,29,79,43,47,76,70,40,79,55,73,80,79,54,28
Guilherme,31,https://cdn.sofifa.org/sm/18/players/180714.png,Russia,https://cdn.sofifa.org/flags/40.png,78,78,Lokomotiv Moscow,https://cdn.sofifa.org/xs/18/teams/100765.png,6500000.0,33000.0,1188,37,35,54,30,21,65,13,19,16,12,11,82,73,70,78,80,13,21,62,33,16,14,12,13,74,39,22,18,40,34,16,62,55,13
F. Orellana,31,https://cdn.sofifa.org/sm/18/players/192492.png,Chile,https://cdn.sofifa.org/flags/55.png,78,78,SD Eibar,https://cdn.sofifa.org/xs/18/teams/467.png,9000000.0,24000.0,1900,80,54,80,66,80,69,77,80,82,79,76,12,7,15,16,15,69,31,65,71,80,28,75,74,74,76,64,25,75,58,37,42,76,61
J. Shelvey,25,https://cdn.sofifa.org/sm/18/players/189165.png,England,https://cdn.sofifa.org/flags/14.png,78,80,Newcastle United,https://cdn.sofifa.org/xs/18/teams/13.png,12500000.0,66000.0,2046,61,84,62,65,76,76,73,68,74,73,67,14,11,15,8,16,67,63,65,85,81,55,71,70,72,83,85,61,63,78,65,76,83,56
M. Bradley,29,https://cdn.sofifa.org/sm/18/players/155887.png,United States,https://cdn.sofifa.org/flags/95.png,78,78,Toronto FC,https://cdn.sofifa.org/xs/18/teams/111651.png,8000000.0,10000.0,2104,69,81,68,74,78,80,74,74,76,71,61,7,14,16,16,16,64,71,49,80,74,71,68,66,79,82,78,71,68,91,73,78,75,71
R. Vormer,29,https://cdn.sofifa.org/sm/18/players/178415.png,Netherlands,https://cdn.sofifa.org/flags/34.png,78,78,Club Brugge KV,https://cdn.sofifa.org/xs/18/teams/231.png,10000000.0,28000.0,2132,65,79,63,67,72,77,79,75,67,79,74,9,16,10,7,7,70,76,72,77,73,66,81,80,80,81,79,70,64,92,74,75,79,74
G. Simeone,21,https://cdn.sofifa.org/sm/18/players/216816.png,Argentina,https://cdn.sofifa.org/flags/52.png,78,85,Fiorentina,https://cdn.sofifa.org/xs/18/teams/110374.png,15000000.0,54000.0,1886,79,70,76,74,76,76,40,69,76,60,80,12,15,9,14,11,80,24,84,55,66,23,71,80,76,68,79,26,82,76,29,74,60,72
T. Mangani,30,https://cdn.sofifa.org/sm/18/players/178160.png,France,https://cdn.sofifa.org/flags/18.png,78,78,Angers SCO,https://cdn.sofifa.org/xs/18/teams/1530.png,9500000.0,28000.0,2087,64,72,68,61,80,75,68,74,71,79,66,13,12,9,13,15,68,75,69,79,75,73,75,68,74,79,78,73,62,80,76,73,78,67
N. Stark,22,https://cdn.sofifa.org/sm/18/players/212977.png,Germany,https://cdn.sofifa.org/flags/21.png,78,85,Hertha BSC Berlin,https://cdn.sofifa.org/xs/18/teams/166.png,12500000.0,25000.0,1881,75,76,61,63,72,69,54,43,65,35,50,7,15,10,15,13,80,79,55,67,55,78,39,62,73,77,63,76,78,69,79,78,71,48
Jonathas,28,https://cdn.sofifa.org/sm/18/players/189169.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,78,Hannover 96,https://cdn.sofifa.org/xs/18/teams/485.png,10500000.0,49000.0,1798,72,79,59,53,77,75,61,40,72,38,78,7,8,15,10,6,77,28,75,46,73,24,73,80,74,65,84,32,75,66,24,87,68,72
Rafael,26,https://cdn.sofifa.org/sm/18/players/189681.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,78,Olympique Lyonnais,https://cdn.sofifa.org/xs/18/teams/66.png,9000000.0,57000.0,2102,84,85,80,83,77,76,77,77,77,51,53,14,7,6,12,8,64,79,82,70,62,75,58,77,77,77,72,77,78,82,77,73,72,59
Adriano,32,https://cdn.sofifa.org/sm/18/players/164082.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,78,Beşiktaş JK,https://cdn.sofifa.org/xs/18/teams/327.png,5500000.0,47000.0,2155,77,75,77,76,82,81,81,84,81,69,59,13,15,10,15,14,63,78,74,77,85,76,59,77,79,79,86,78,74,74,79,67,69,53
L. Podolski,32,https://cdn.sofifa.org/sm/18/players/150516.png,Germany,https://cdn.sofifa.org/flags/21.png,78,78,Vissel Kobe,https://cdn.sofifa.org/xs/18/teams/101146.png,8500000.0,11000.0,2022,77,70,67,70,78,79,75,80,78,75,77,10,9,16,9,9,66,36,71,67,80,33,83,75,76,76,92,39,75,68,39,79,79,88
Reyes,33,https://cdn.sofifa.org/sm/18/players/111093.png,Spain,https://cdn.sofifa.org/flags/45.png,78,78,Córdoba CF,https://cdn.sofifa.org/xs/18/teams/1867.png,6500000.0,15000.0,1892,75,62,73,75,81,70,80,85,81,77,70,15,10,8,13,16,55,26,52,74,79,24,72,73,77,77,72,23,69,62,27,58,82,69
D. Berardi,22,https://cdn.sofifa.org/sm/18/players/210935.png,Italy,https://cdn.sofifa.org/flags/27.png,78,83,Sassuolo,https://cdn.sofifa.org/xs/18/teams/111974.png,14000000.0,52000.0,1954,82,83,87,73,85,74,76,70,80,73,74,5,6,5,5,6,62,26,66,75,79,22,74,77,73,75,83,30,83,75,30,65,71,78
B. Natcho,29,https://cdn.sofifa.org/sm/18/players/198648.png,Israel,https://cdn.sofifa.org/flags/26.png,78,78,CSKA Moscow,https://cdn.sofifa.org/xs/18/teams/315.png,10000000.0,50000.0,2081,57,71,76,79,81,84,76,75,73,76,70,14,13,12,15,16,57,72,54,81,74,73,84,68,78,80,73,64,66,66,72,70,80,65
Adrián,29,https://cdn.sofifa.org/sm/18/players/173818.png,Spain,https://cdn.sofifa.org/flags/45.png,78,78,RC Deportivo de La Coruña,https://cdn.sofifa.org/xs/18/teams/242.png,10500000.0,18000.0,1839,75,58,74,64,84,66,60,76,82,57,80,13,14,12,6,15,71,32,74,55,76,21,67,78,78,73,77,16,65,53,19,68,71,75
R. Funes Mori,26,https://cdn.sofifa.org/sm/18/players/198140.png,Argentina,https://cdn.sofifa.org/flags/52.png,78,79,Monterrey,https://cdn.sofifa.org/xs/18/teams/1032.png,12500000.0,63000.0,2020,79,80,79,73,74,76,65,75,75,58,82,8,10,15,6,15,77,49,78,65,68,47,70,80,78,70,74,44,76,84,45,77,72,72
M. Weiser,23,https://cdn.sofifa.org/sm/18/players/206591.png,Germany,https://cdn.sofifa.org/flags/21.png,78,83,Hertha BSC Berlin,https://cdn.sofifa.org/xs/18/teams/166.png,11500000.0,25000.0,2073,85,69,85,78,83,77,78,69,85,52,63,13,15,10,13,9,65,75,67,68,61,68,58,74,78,79,58,74,84,79,74,66,79,59
G. Escalante,24,https://cdn.sofifa.org/sm/18/players/219391.png,Argentina,https://cdn.sofifa.org/flags/52.png,78,85,SD Eibar,https://cdn.sofifa.org/xs/18/teams/467.png,12500000.0,19000.0,2023,73,86,67,70,73,74,62,63,71,52,56,10,12,7,12,11,58,80,76,72,58,75,64,61,73,76,79,78,75,86,84,73,71,59
R. Alessandrini,28,https://cdn.sofifa.org/sm/18/players/184575.png,France,https://cdn.sofifa.org/flags/18.png,78,78,LA Galaxy,https://cdn.sofifa.org/xs/18/teams/697.png,10500000.0,11000.0,1990,87,65,90,89,78,77,78,78,78,79,75,11,12,9,16,9,53,33,61,68,77,25,73,72,78,72,81,30,88,75,42,58,75,75
J. Ward-Prowse,22,https://cdn.sofifa.org/sm/18/players/205569.png,England,https://cdn.sofifa.org/flags/14.png,77,82,Southampton,https://cdn.sofifa.org/xs/18/teams/17.png,12000000.0,68000.0,2066,69,67,74,79,81,79,89,88,71,83,61,12,12,10,15,15,57,65,68,82,70,55,80,64,74,83,74,62,67,80,65,61,82,51
M. Harnik,30,https://cdn.sofifa.org/sm/18/players/177666.png,Austria,https://cdn.sofifa.org/flags/4.png,77,77,Hannover 96,https://cdn.sofifa.org/xs/18/teams/485.png,8500000.0,47000.0,1965,77,72,69,64,71,75,68,73,74,52,76,15,10,12,6,14,77,39,90,69,68,39,72,78,76,72,77,42,79,83,32,75,68,76
B. Moukandjo,28,https://cdn.sofifa.org/sm/18/players/185090.png,Cameroon,https://cdn.sofifa.org/flags/103.png,77,77,,https://cdn.sofifa.org/flags/103.png,0.0,0.0,1893,91,51,83,70,75,77,72,71,77,71,79,14,14,8,12,10,66,32,71,60,64,25,79,77,76,69,75,19,93,69,20,65,65,70
Juanmi,24,https://cdn.sofifa.org/sm/18/players/197891.png,Spain,https://cdn.sofifa.org/flags/45.png,77,82,Real Sociedad,https://cdn.sofifa.org/xs/18/teams/457.png,12000000.0,30000.0,1849,80,57,79,79,81,69,64,60,80,57,80,11,6,9,12,9,73,23,75,53,73,25,63,83,81,74,70,25,78,71,28,47,69,74
K. Gibbs,27,https://cdn.sofifa.org/sm/18/players/186115.png,England,https://cdn.sofifa.org/flags/14.png,77,77,West Bromwich Albion,https://cdn.sofifa.org/xs/18/teams/109.png,7500000.0,62000.0,1983,78,72,76,74,75,73,72,64,73,52,46,6,11,8,9,15,68,76,69,65,59,73,63,67,77,74,67,76,82,80,77,67,65,47
F. Fernández,28,https://cdn.sofifa.org/sm/18/players/201988.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,77,Swansea City,https://cdn.sofifa.org/xs/18/teams/1960.png,7000000.0,65000.0,1586,47,78,48,48,65,71,23,49,39,42,26,12,12,13,14,12,80,78,76,56,29,79,42,36,71,68,27,78,48,68,79,78,44,21
L. Kalinić,27,https://cdn.sofifa.org/sm/18/players/220932.png,Croatia,https://cdn.sofifa.org/flags/10.png,77,79,KAA Gent,https://cdn.sofifa.org/xs/18/teams/674.png,7000000.0,19000.0,1125,30,39,26,22,25,58,15,18,17,13,12,82,75,58,76,80,15,23,63,19,19,13,22,7,71,22,25,17,39,31,17,73,46,15
N. Blandi,27,https://cdn.sofifa.org/sm/18/players/200197.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,77,San Lorenzo de Almagro,https://cdn.sofifa.org/xs/18/teams/1013.png,9500000.0,27000.0,1850,66,49,78,60,78,79,55,55,65,54,82,13,10,15,15,15,80,43,80,64,72,33,79,83,78,72,76,27,64,73,30,64,45,77
Aarón Martín,20,https://cdn.sofifa.org/sm/18/players/236295.png,Spain,https://cdn.sofifa.org/flags/45.png,77,85,RCD Espanyol,https://cdn.sofifa.org/xs/18/teams/452.png,11000000.0,22000.0,1833,72,64,67,65,75,68,74,62,71,54,33,11,14,10,12,12,73,79,61,61,28,79,43,60,77,76,55,78,75,70,79,63,59,21
M. Krohn-Dehli,34,https://cdn.sofifa.org/sm/18/players/159240.png,Denmark,https://cdn.sofifa.org/flags/13.png,77,77,RC Deportivo de La Coruña,https://cdn.sofifa.org/xs/18/teams/242.png,4500000.0,27000.0,2039,69,67,73,78,78,69,82,77,77,83,69,10,8,15,16,11,50,71,57,77,68,54,76,78,79,76,80,61,66,62,68,66,84,53
L. López,27,https://cdn.sofifa.org/sm/18/players/215051.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,77,Inter,https://cdn.sofifa.org/xs/18/teams/44.png,7500000.0,13000.0,1758,64,79,64,55,62,75,33,37,61,32,48,14,12,8,6,13,78,80,87,58,44,75,48,38,73,66,67,76,68,64,77,80,41,50
A. Lafont,18,https://cdn.sofifa.org/sm/18/players/231691.png,France,https://cdn.sofifa.org/flags/18.png,77,89,Toulouse FC,https://cdn.sofifa.org/xs/18/teams/1809.png,11500000.0,10000.0,1174,48,20,55,53,10,45,13,13,14,12,6,78,77,71,76,79,13,17,73,38,9,5,16,4,64,52,23,12,45,40,14,70,45,9
Ricardo Horta,22,https://cdn.sofifa.org/sm/18/players/213516.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,84,SC Braga,https://cdn.sofifa.org/xs/18/teams/1896.png,12500000.0,13000.0,1868,78,55,85,82,80,69,75,78,80,51,71,7,9,10,8,13,51,36,62,64,69,24,71,76,80,74,79,25,76,80,28,34,75,82
S. Doumbia,29,https://cdn.sofifa.org/sm/18/players/188428.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,77,77,Sporting CP,https://cdn.sofifa.org/xs/18/teams/237.png,9000000.0,21000.0,1967,90,62,70,70,75,80,46,78,77,69,75,12,15,13,6,12,76,29,82,63,72,34,80,74,74,72,76,37,91,77,39,73,72,76
Caiuby,28,https://cdn.sofifa.org/sm/18/players/189196.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,FC Augsburg,https://cdn.sofifa.org/xs/18/teams/100409.png,9000000.0,30000.0,1930,78,73,74,66,74,64,72,68,74,49,74,13,7,15,7,15,80,49,91,64,72,17,61,76,76,73,80,22,87,86,24,81,73,59
D. Reyes,24,https://cdn.sofifa.org/sm/18/players/192012.png,Mexico,https://cdn.sofifa.org/flags/83.png,77,82,FC Porto,https://cdn.sofifa.org/xs/18/teams/236.png,10000000.0,13000.0,1784,63,64,68,55,77,67,49,45,67,36,45,8,14,12,7,8,79,79,70,68,47,79,50,44,73,79,49,81,66,68,76,69,52,37
Bernat,24,https://cdn.sofifa.org/sm/18/players/205069.png,Spain,https://cdn.sofifa.org/flags/45.png,77,80,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,9500000.0,68000.0,2054,84,71,86,88,83,69,82,76,84,51,57,8,9,12,11,16,53,73,73,64,62,71,53,74,80,79,63,74,78,77,76,57,70,59
K. Havertz,18,https://cdn.sofifa.org/sm/18/players/235790.png,Germany,https://cdn.sofifa.org/flags/21.png,77,88,Bayer 04 Leverkusen,https://cdn.sofifa.org/xs/18/teams/32.png,14000000.0,29000.0,1814,77,40,78,71,77,73,69,59,81,46,66,6,8,11,10,12,61,31,69,73,57,39,49,73,77,80,62,38,79,67,42,60,80,66
M. Gregoritsch,23,https://cdn.sofifa.org/sm/18/players/199439.png,Austria,https://cdn.sofifa.org/flags/4.png,77,81,FC Augsburg,https://cdn.sofifa.org/xs/18/teams/100409.png,11500000.0,25000.0,1901,66,58,67,52,78,65,65,83,75,78,80,10,6,9,16,6,71,33,50,69,79,35,64,77,78,77,84,38,69,69,40,76,73,70
T. Vilhena,22,https://cdn.sofifa.org/sm/18/players/203535.png,Netherlands,https://cdn.sofifa.org/flags/34.png,77,81,Feyenoord,https://cdn.sofifa.org/xs/18/teams/246.png,11500000.0,17000.0,2114,77,84,76,85,80,81,75,70,77,68,65,12,8,16,12,12,60,74,76,76,79,60,53,70,76,78,80,68,72,85,72,76,74,68
G. Hoarau,33,https://cdn.sofifa.org/sm/18/players/156432.png,France,https://cdn.sofifa.org/flags/18.png,77,77,BSC Young Boys,https://cdn.sofifa.org/xs/18/teams/900.png,5500000.0,29000.0,1801,55,63,59,31,71,76,66,66,70,54,82,1,1,1,1,1,81,34,62,62,69,45,81,81,77,75,74,35,52,65,53,89,69,75
S. Langkamp,29,https://cdn.sofifa.org/sm/18/players/183568.png,Germany,https://cdn.sofifa.org/flags/21.png,77,77,SV Werder Bremen,https://cdn.sofifa.org/xs/18/teams/38.png,7000000.0,30000.0,1528,54,73,54,49,47,67,32,23,35,22,22,8,6,14,15,9,84,69,65,57,24,82,38,25,75,66,48,79,64,61,83,83,40,22
Sergio García,34,https://cdn.sofifa.org/sm/18/players/135697.png,Spain,https://cdn.sofifa.org/flags/45.png,77,77,RCD Espanyol,https://cdn.sofifa.org/xs/18/teams/452.png,4700000.0,34000.0,1888,73,61,66,73,78,80,77,80,82,64,76,12,6,11,15,12,70,29,40,72,74,19,80,81,78,76,77,28,72,54,30,73,77,72
A. Talavera,34,https://cdn.sofifa.org/sm/18/players/156433.png,Mexico,https://cdn.sofifa.org/flags/83.png,77,77,Deportivo Toluca,https://cdn.sofifa.org/xs/18/teams/1882.png,3600000.0,16000.0,1289,58,38,57,47,21,64,15,15,10,14,13,82,75,71,75,78,14,24,80,35,13,13,44,14,71,35,25,14,58,36,13,75,43,13
M. Nakamba,23,https://cdn.sofifa.org/sm/18/players/222994.png,Zimbabwe,https://cdn.sofifa.org/flags/148.png,77,83,Club Brugge KV,https://cdn.sofifa.org/xs/18/teams/231.png,10500000.0,21000.0,1912,81,86,77,78,73,68,46,45,69,37,36,9,15,10,15,8,55,78,77,68,54,68,38,55,77,73,80,76,76,87,81,80,63,41
J. Hendrix,22,https://cdn.sofifa.org/sm/18/players/212755.png,Netherlands,https://cdn.sofifa.org/flags/34.png,77,83,PSV,https://cdn.sofifa.org/xs/18/teams/247.png,10500000.0,15000.0,1970,75,80,73,74,75,77,57,52,72,34,52,14,8,12,8,11,73,78,80,83,57,74,54,69,74,76,67,70,71,83,73,73,68,50
L. Dendoncker,22,https://cdn.sofifa.org/sm/18/players/212501.png,Belgium,https://cdn.sofifa.org/flags/7.png,77,83,RSC Anderlecht,https://cdn.sofifa.org/xs/18/teams/229.png,10500000.0,21000.0,2067,58,73,57,53,73,74,75,72,68,71,66,14,8,14,14,6,78,78,71,78,76,68,44,71,73,78,86,76,68,91,78,84,76,71
Luís Hernández,28,https://cdn.sofifa.org/sm/18/players/205590.png,Spain,https://cdn.sofifa.org/flags/45.png,77,78,Málaga CF,https://cdn.sofifa.org/xs/18/teams/573.png,8000000.0,26000.0,1917,71,68,69,68,73,69,69,56,59,42,37,8,7,11,8,9,69,82,82,71,55,76,54,55,77,74,70,81,72,82,78,76,55,53
S. Rode,26,https://cdn.sofifa.org/sm/18/players/200215.png,Germany,https://cdn.sofifa.org/flags/21.png,77,78,Borussia Dortmund,https://cdn.sofifa.org/xs/18/teams/22.png,8500000.0,50000.0,2006,69,84,71,74,73,74,69,51,72,57,55,9,8,14,7,11,66,80,76,72,65,76,51,69,75,75,75,78,64,82,78,74,71,55
Raphaelito Anjos,29,https://cdn.sofifa.org/sm/18/players/230168.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,Santos Futebol Clube,https://cdn.sofifa.org/xs/18/teams/1053.png,6000000.0,18000.0,1155,41,34,34,41,21,67,10,9,9,18,8,77,75,74,76,76,11,23,67,16,7,12,14,27,77,18,21,13,42,29,17,79,71,8
A. Barnes,27,https://cdn.sofifa.org/sm/18/players/186905.png,Austria,https://cdn.sofifa.org/flags/4.png,77,77,Burnley,https://cdn.sofifa.org/xs/18/teams/1796.png,9500000.0,63000.0,1947,69,87,71,69,77,72,65,60,73,56,77,6,10,11,10,10,78,41,82,63,67,33,74,79,74,70,81,39,67,84,46,80,68,70
M. Lestienne,25,https://cdn.sofifa.org/sm/18/players/192537.png,Belgium,https://cdn.sofifa.org/flags/7.png,77,79,Málaga CF,https://cdn.sofifa.org/xs/18/teams/573.png,11000000.0,26000.0,1905,85,71,84,85,75,73,70,72,81,69,73,9,15,12,11,7,47,35,73,71,70,29,69,72,71,75,71,34,84,81,27,36,72,69
L. Pavoletti,28,https://cdn.sofifa.org/sm/18/players/205850.png,Italy,https://cdn.sofifa.org/flags/27.png,77,77,Cagliari,https://cdn.sofifa.org/xs/18/teams/1842.png,9000000.0,70000.0,1697,67,60,65,59,74,73,33,49,66,28,81,15,6,12,14,9,86,24,82,36,56,20,64,80,76,64,80,17,67,69,21,85,52,80
F. Kessié,20,https://cdn.sofifa.org/sm/18/players/230938.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,77,86,Milan,https://cdn.sofifa.org/xs/18/teams/47.png,13500000.0,24000.0,2109,74,82,68,79,78,76,66,58,78,48,67,9,11,12,12,10,68,80,79,74,68,68,78,76,76,78,78,74,76,92,78,84,70,60
Marcelo,27,https://cdn.sofifa.org/sm/18/players/205340.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,Rio Ave FC,https://cdn.sofifa.org/xs/18/teams/744.png,7500000.0,11000.0,1636,69,73,65,68,60,79,37,35,41,27,24,6,16,6,10,8,80,80,90,51,22,77,42,27,77,65,39,78,70,70,80,72,43,28
A. Halilović,21,https://cdn.sofifa.org/sm/18/players/216349.png,Croatia,https://cdn.sofifa.org/flags/10.png,77,84,UD Las Palmas,https://cdn.sofifa.org/xs/18/teams/472.png,12500000.0,30000.0,1806,80,40,78,88,83,72,72,80,81,69,61,15,11,11,13,10,24,55,57,71,71,26,75,73,73,80,58,21,74,60,16,36,80,64
F. Chiesa,19,https://cdn.sofifa.org/sm/18/players/235805.png,Italy,https://cdn.sofifa.org/flags/27.png,77,86,Fiorentina,https://cdn.sofifa.org/xs/18/teams/110374.png,13500000.0,40000.0,1860,86,60,86,79,80,76,70,68,80,48,70,6,7,8,9,7,50,30,55,60,76,28,62,76,76,75,80,34,84,79,34,64,69,64
A. Marušić,24,https://cdn.sofifa.org/sm/18/players/224031.png,Montenegro,https://cdn.sofifa.org/flags/15.png,77,80,Lazio,https://cdn.sofifa.org/xs/18/teams/46.png,11500000.0,43000.0,2072,83,71,66,67,77,72,78,72,79,48,66,8,9,7,10,10,69,70,81,66,77,70,58,73,73,74,81,72,85,82,71,81,70,68
Sidney Pessinho,25,https://cdn.sofifa.org/sm/18/players/230431.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,Grêmio Foot-Ball Porto Alegrense,https://cdn.sofifa.org/xs/18/teams/1629.png,8000000.0,24000.0,2009,72,77,51,55,71,67,71,81,72,77,56,11,15,8,7,7,62,76,61,77,72,77,67,52,81,75,73,76,72,76,76,88,72,45
A. Potuk,26,https://cdn.sofifa.org/sm/18/players/194079.png,Turkey,https://cdn.sofifa.org/flags/48.png,77,78,Fenerbahçe SK,https://cdn.sofifa.org/xs/18/teams/326.png,10500000.0,66000.0,1972,87,78,89,83,76,73,74,74,82,40,64,12,12,7,10,8,62,46,72,76,70,46,56,74,76,78,74,54,86,72,48,61,71,54
J. Correa,22,https://cdn.sofifa.org/sm/18/players/215330.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,84,Sevilla FC,https://cdn.sofifa.org/xs/18/teams/481.png,12500000.0,17000.0,1837,78,48,79,60,82,65,74,75,81,63,70,11,10,7,8,8,43,36,36,69,71,29,57,74,70,76,76,26,82,76,37,75,75,75
M. Díaz,30,https://cdn.sofifa.org/sm/18/players/176930.png,Chile,https://cdn.sofifa.org/flags/55.png,77,77,U.N.A.M.,https://cdn.sofifa.org/xs/18/teams/1881.png,8000000.0,26000.0,2072,65,78,75,94,80,73,74,83,72,82,52,2,2,2,2,2,63,77,74,79,80,74,66,64,74,80,84,68,57,86,77,66,72,66
A. Carrillo,26,https://cdn.sofifa.org/sm/18/players/203299.png,Peru,https://cdn.sofifa.org/flags/59.png,77,78,Watford,https://cdn.sofifa.org/xs/18/teams/1795.png,10500000.0,15000.0,1919,86,53,80,77,82,73,76,78,83,55,71,11,14,13,12,7,70,34,74,60,75,19,68,74,74,73,76,25,83,65,32,72,73,74
G. Conti,22,https://cdn.sofifa.org/sm/18/players/221219.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,85,Colon de Santa Fe,https://cdn.sofifa.org/xs/18/teams/110406.png,11500000.0,12000.0,1668,69,76,51,46,54,72,32,40,42,31,37,14,8,12,16,13,79,77,65,59,30,80,47,32,73,72,50,77,74,78,81,77,44,32
B. Pavard,21,https://cdn.sofifa.org/sm/18/players/226851.png,France,https://cdn.sofifa.org/flags/18.png,77,84,VfB Stuttgart,https://cdn.sofifa.org/xs/18/teams/36.png,11000000.0,20000.0,1875,69,70,69,66,74,78,67,49,66,45,37,9,7,15,7,15,70,80,85,75,36,79,51,54,75,77,60,79,73,68,77,66,62,43
